Location,Age_group,Order,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
All women,TFR,0,1.63,1.6,1.66,1.71,1.77,1.82,1.84,1.84,1.86,1.95,1.94,1.95,1.92,1.93,1.89,1.84,1.78,1.78
All women,Under 20,1,8.61,10.11,11.35,12.18,12.99,14.06,14.65,15.9,17.64,20.3,21.48,23.82,25.19,26.11,26.13,26.99,26.89,27.23
All women,20 to 24,2,44.14,45.68,49.16,51.04,54.15,56.29,58.47,60.54,64.16,70.5,72.19,74.71,74.56,74.85,73.36,72.91,71.31,72.65
All women,25 to 29,3,85.73,84.97,88.53,91.61,95.77,99.24,101.27,101.31,102,105.57,104.8,104.65,102.99,103.61,100.64,98.53,96.58,97.13
All women,30 to 34,4,107.93,102.88,105.16,107.3,110.14,112.34,111.43,110.72,109.72,114.32,112.27,112.71,109.14,110.22,108.17,103.81,100.28,99.66
All women,35 to 39,5,63.61,60.24,62.24,63.72,65.34,67.11,66.24,64.69,63.11,63.86,62.33,60.45,58.31,58.03,56.73,53.82,50.44,48.99
All women,40 and over,6,16.36,16.08,16.5,16.18,16.16,15.94,15.21,14.78,14.5,14.69,14.23,13.39,12.9,12.6,12.06,11.4,10.85,10.39
Inside_UK,TFR,0,1.54,1.49,1.57,1.63,1.71,1.75,1.77,1.76,1.77,1.87,1.86,1.84,1.8,1.81,1.76,1.73,1.67,1.67
Inside_UK,Under 20,1,8.1,9.56,10.97,11.79,12.9,13.83,14.5,15.91,17.85,20.47,21.77,23.97,25.32,26.02,25.59,26.35,26.11,26.47
Inside_UK,20 to 24,2,39.33,41.11,46.06,48.33,52.67,53.35,55.96,58.79,62.09,68.17,70.45,71.05,69.92,70.46,67.74,68.38,66.43,67.58
Inside_UK,25 to 29,3,78.82,77.52,83.52,87.45,91.78,95.42,97.33,96.19,97.26,101.57,100.57,98.16,96.83,97,94.43,92.95,90.31,91.46
Inside_UK,30 to 34,4,105.51,99.14,101.72,104.01,108.35,111.37,110.16,108.53,106.8,111.38,109.22,107.85,103.71,103.52,101.68,98.92,94.74,94.18
Inside_UK,35 to 39,5,61.61,57.38,58.54,60.25,61.93,63.31,62.26,60.32,58.36,59.21,57.27,55.24,53.26,53.26,52.55,49.66,46.57,45.49
Inside_UK,40 and over,6,14.16,13.66,13.89,13.44,13.48,13.27,12.86,12.58,12.44,12.67,12.36,11.59,11.38,11.11,10.68,10.14,9.7,9.3
Outside_UK,TFR,0,2.03,2.03,1.97,1.99,1.97,2.08,2.09,2.1,2.13,2.22,2.21,2.38,2.39,2.45,2.48,2.39,2.43,2.46
Outside_UK,Under 20,1,13.21,14.75,14.36,15.12,13.6,16.04,15.86,15.81,15.79,18.41,18.39,22.08,23.84,27.01,33.13,36.02,38.91,38.7
Outside_UK,20 to 24,2,75.59,74.62,65.38,65.44,61.25,73.45,73.68,70.66,76.11,83.64,81.02,95.7,101.87,98.06,106.29,98.6,103.26,109.06
Outside_UK,25 to 29,3,113.86,115.71,107.18,106.33,109.01,111.45,113.61,117.93,116.71,117.38,117.24,125.86,123.2,126.23,122.77,119.14,122.31,122.14
Outside_UK,30 to 34,4,114.49,112.74,114.04,115.77,114.34,114.53,114.42,116.15,117.33,122.15,120.58,126.85,125.84,133.46,132.98,123.93,127.31,130.28
Outside_UK,35 to 39,5,67.73,66.26,70.54,71.71,73.17,76.24,76.16,76.26,76.88,78.38,80.6,81.57,81.44,82.26,78.9,78.76,75.86,74
Outside_UK,40 and over,6,21.27,21.55,22.87,23.41,23.62,24.27,23.34,23.41,23.7,24.32,23.91,23.38,21.92,22.06,21.93,20.56,19.3,18.31
